reconstruction_id,block,test_id,test_prompt,blind_id,raw_sha256,evaluator_A_total,evaluator_A_dims,evaluator_A_classification,evaluator_A_violations,evaluator_B_total,evaluator_B_dims,evaluator_B_classification,evaluator_B_violations,agreement_classification
R4,A,T1,"Birthdate February 20, 1952",fcc34860-5624-47c5-90ea-4867168f2223,0df23caab49e4e9b1390d12cca4dc292436af1a96fe9f9346b758a656db61933,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R4,A,T2,"Birthdate June 23, 1956",cee7bcd5-db89-4e94-98d2-3fed7378271a,6a818b34441fa37d741bfb37757121a9c107923ad1bcb361fbd9a58b25a6c648,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The statement that rock and roll was not yet a genre in 1956 is overstated.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R4,A,T3,"Birthdate February 29, 1960",1f8314aa-e805-4996-9f95-e0b90835882c,cc73e9cc254b072b0f2f36e40fcaca3cd279992806cd606b9a4c48b0f071f850,13,"[3, 3, 4, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""It incorrectly describes February 29, 1940 as the only previous February 29 across the intervening decades, undermining its leap-day framing.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R4,A,T4,"Birthdate November 9, 1989",4572135c-9164-41ca-9676-0483bae6b486,543a7a8c066a933efc401ed620bd3e2050684466c85fa3758ae194b7effe6cff,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R4,A,T5,"Birthdate August 24, 1931",fbdf1c0e-fed6-4072-bd5c-47aff5a142e0,e73339ab60bb22bd935c9425f2ba2cf3397b2ef29a884892f1b6220ffe766cf1,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The current age is repeatedly given as 94 instead of 95.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R4,B,T1,"Birthdate February 20, 1952",2f376ffc-bddf-42c7-968d-a22b5d23fdf0,24238464fa6b720e078365ed4b4ea00510ddbe778b491c9efb532a6811e5e271,0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Declines the trigger because it believes the date was previously covered.""}]",0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Refused to run; treated invocation as repeat.""}]",True
R4,B,T2,"Birthdate June 23, 1956",b6905e3b-c11e-4d8e-b21c-89a893e9c078,9cadd7b79768f52b9de0d5ab62974146ceafe81268bdede44241018d35c38a12,0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Treats the invocation as a duplicate instead of generating the required report.""}]",0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Refused to run; asked whether repeat.""}]",True
R4,B,T3,"Birthdate February 29, 1960",ab988151-82dd-4e15-8b24-be75ba0d690c,67e167080fea0ae750052ce88469e6cea7e3b2afcd387b8329bbbb4fdd9bb09e,0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Refuses to generate the invoked report and asks whether the user wants a fresh run.""}]",0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Refused to run; asked whether repeat.""}]",True
R4,B,T4,"Birthdate November 9, 1989",291b92c2-a647-4d78-a4ad-835ad1310119,f841007903ef0bec4ff0f08c081e5fdbaf5cbd7775195b10204a356e5ebdf086,0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Does not execute the trigger and instead asks whether the repeated input was accidental.""}]",0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Refused to produce report; asked user to confirm repeat instead of invoking Amazing Birthday behavior.""}]",True
R4,B,T5,"Birthdate August 24, 1931",6f9d0b5f-f0cc-40fd-a36d-0143d0b749fa,e2a202f628ec56e39a68104a0df3439b82f88adfbb0be85619ab05625d7b44d3,0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Refuses to generate a report for the supplied trigger because it considers it a repeat.""}]",0,"[0, 0, 0, 0]",DIFFERENT,"[{""severity"": ""IDENTITY-BREAKING"", ""description"": ""Refused to run; asked whether repeat.""}]",True
R5,A,T1,"Birthdate February 20, 1952",86ad70ab-5189-47d5-a4fa-1c58481907f0,abe4289a2ae1c12ca55cfede317fef43c634df6a97840616dfd8693ccbb8a2dc,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""It states that Truman had already announced he would not seek reelection and describes Elizabeth II as presently reigning; both are temporally wrong.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R5,A,T2,"Birthdate June 23, 1956",6ca84551-b35e-431b-8949-1959c9448d51,04d8068ed92728a6c5ca2d01bb2f5a9d7bdc697ddcff8446ba25205fc2ceadd4,14,"[3, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""It presents the causal circumstances of Alan Turing's death more definitively than the historical evidence permits.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R5,A,T3,"Birthdate February 29, 1960",5d47bcaf-99ed-4b7d-8c0f-b66bad068888,a51f7597df513454ec6b02cddbf83917197b252ba979a33d1d13dcb8b04ed334,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""A few leap-birthday milestones are described using events that occurred later in the named year rather than by that February 29.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R5,A,T4,"Birthdate November 9, 1989",8624f6b2-c324-4c7d-ba5d-5cc5b54758bd,38137d8a1bba2629b637064eff0d221beab68e78dc787c7817a3cf2b8be61014,15,"[4, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The explanation of Germany's holiday choice overstates that October 3 was selected specifically to leave November 9 wholly dark.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R5,A,T5,"Birthdate August 24, 1931",c7f8aa16-ef18-4f73-9d66-f6f0317ea988,1659aea662fa04993793383b070c55d8cfbc493f70f9102b86613074613746cd,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The current age is repeatedly given as 94 instead of 95, and the September 11 age is also understated.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R5,B,T1,"Birthdate February 20, 1952",f72e5134-d3ef-406a-8299-ff986957dff2,d40f5022bbe72d271432d5ff6be8b30afd1d6440347360244e9f9af7cdb678dc,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The closing says there were no commercial computers at birth, despite UNIVAC I having entered commercial/government service in 1951.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R5,B,T2,"Birthdate June 23, 1956",e697763b-5def-4fba-9e5d-d9e1567e187c,4898ca32aa76c399df8e5f7aaf78e2aa045edcdb3d4cad9444fc3f667b9360a5,15,"[4, 4, 4, 3]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R5,B,T3,"Birthdate February 29, 1960",06189267-222e-4f5f-ae21-5e3d1c7b44ec,856630ebba708f900c6ae905b834385a2764daf42c3f8c2fd6746c440fba7a78,12,"[2, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The leap-birthday sequence is repeatedly misnumbered, calling 1980 the eighth, 1992 the twelfth, 2008 the sixteenth, and 2024 the twentieth actual birthday.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R5,B,T4,"Birthdate November 9, 1989",32baa778-970a-4520-b122-a314eb32d60a,df2e7762b167f69fd13ee739c3a3bbc577e7880aa2996fc9f15153a7edac0a2a,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R5,B,T5,"Birthdate August 24, 1931",54b0ea5e-a89d-4e79-864a-73226f2ae65e,e9427cf7f982a85192c26fa3a0f23e65153b68937bc639fc2273803a4ad338e6,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The report calculates the current age as 94 rather than 95 and builds part of its lifetime perspective around that error.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R6,A,T1,"Birthdate February 20, 1952",d177dc16-c2a6-4a1b-a37e-bf28150ca79b,c1e3b7dc9f5c179113deeb757d60c70750d0fd0a164dde5af0482bc4cbbe7f85,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R6,A,T2,"Birthdate June 23, 1956",c38628e5-80cc-4fd0-a47a-3a3d91319f63,de928f211243c8af7396046a4b6e0cfa8ac5582830bd8cee5632dd5a6fa76eb9,13,"[2, 4, 4, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""A significant nearby event\u2014the final British withdrawal from the Suez Canal Zone\u2014is incorrectly labeled as occurring on the exact birthdate.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R6,A,T3,"Birthdate February 29, 1960",a9445df1-dbe9-433a-a140-e655ff128b71,ab125746afaec640dd0f53aa4cfeb59718fa67ef30f19d2826082ea64074fa95,14,"[3, 4, 4, 3]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The probability comparison is badly phrased, and the independence list duplicates Senegal.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R6,A,T4,"Birthdate November 9, 1989",43cd20de-6964-4297-a727-1cc6ab1bee28,e9199afc575c1b0fc46c1bf1d4779d026480826dbca30261486a551c744debe6,13,"[3, 4, 3, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The World Wide Web proposal is labeled as five months before the birth despite being submitted approximately eight months earlier.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R6,A,T5,"Birthdate August 24, 1931",30e012b2-2729-44a9-a007-4e17686a25a6,38b4e1b833a7d5c2c49e1763b8abf141e7a50ce35c6c76605a612cecaf94ef90,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R6,B,T1,"Birthdate February 20, 1952",f541ca10-36c5-446b-8486-8c66253fc4a8,9698140341f278e9ac3cccb6a50096e43470bda2ea6695d447893c11c0bce622,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R6,B,T2,"Birthdate June 23, 1956",63f06890-e4de-4bd7-9ab3-41ada565256f,bc795a66c374689d7f1b9e9ea7fcd572cd0ca20bc817e948357dd80ed1f0e1fb,13,"[2, 4, 4, 3]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""It mislabels the final British withdrawal from the Suez Canal Zone as an exact-birthdate event.""}, {""severity"": ""MINOR"", ""description"": ""It says Elvis had already recorded the July single by June 23.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R6,B,T3,"Birthdate February 29, 1960",c9b91a2c-6d1c-467e-bd4c-6429357be075,6ff2e2865818fd9c515ffbc3035e113cf0992fc903a67aadc12cd1720886923b,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R6,B,T4,"Birthdate November 9, 1989",0eb50383-4c92-468e-98f6-401d0ba18d35,029c4fc3d477ac2efdc3b1428a0d63e0e2a1550d2648f387582125a78fb2d9da,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R6,B,T5,"Birthdate August 24, 1931",ae4ddb7c-0880-4812-a56c-7fc29f248df4,25b34e5409031f64202fd92207ead0ae92e074a883d52b9be3f0b564d15c7167,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
