blind_id,R,B,T,arm,evaluator,trigger,contract,selection,narrative,functional,total_score,identity,M1,M2,M3,M4,modification_conformance,was_retry,source_artifact_path
B0040,R2,B,T2,C,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R2_C/captures/B/T2.raw.json
B0017,R2,B,T2,M,A,FAIL,0,0,0,0,0,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T2.raw.json
B0017,R2,B,T2,M,B,PASS,1,0,1,0,2,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T2.raw.json
B0024,R2,B,T3,C,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R2_C/captures/B/T3.raw.json
B0024,R2,B,T3,C,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R2_C/captures/B/T3.raw.json
B0034,R2,B,T3,M,A,FAIL,0,0,0,0,0,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T3.raw.json
B0034,R2,B,T3,M,B,PASS,1,0,1,0,2,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T3.raw.json
B0055,R2,B,T4,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_C/captures/B/T4.raw.json
B0055,R2,B,T4,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R2_C/captures/B/T4.raw.json
B0045,R2,B,T4,M,A,FAIL,0,0,0,0,0,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T4.raw.json
B0045,R2,B,T4,M,B,PASS,1,0,1,0,2,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T4.raw.json
B0038,R2,B,T5,C,A,PASS,4,4,4,4,16,SAME,0,0,0,0,0,False,runs/R2_C/captures/B/T5.raw.json
B0038,R2,B,T5,C,B,PASS,4,4,4,4,16,SAME,0,0,0,0,0,False,runs/R2_C/captures/B/T5.raw.json
B0014,R2,B,T5,M,A,FAIL,0,0,0,0,0,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T5.raw.json
B0014,R2,B,T5,M,B,PASS,1,0,1,0,2,DIFFERENT,0,0,0,0,0,False,runs/R2_M/captures/B/T5.raw.json
B0010,R3,A,T1,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_C/captures/A/T1.raw.json.RETRY
B0010,R3,A,T1,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_C/captures/A/T1.raw.json.RETRY
B0019,R3,A,T1,M,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,False,runs/R3_M/captures/A/T1.raw.json
B0019,R3,A,T1,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R3_M/captures/A/T1.raw.json
B0030,R3,A,T2,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,0,1,0,2,True,runs/R3_C/captures/A/T2.raw.json.RETRY
B0030,R3,A,T2,C,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,0,3,True,runs/R3_C/captures/A/T2.raw.json.RETRY
B0009,R3,A,T2,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R3_M/captures/A/T2.raw.json
B0009,R3,A,T2,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,False,runs/R3_M/captures/A/T2.raw.json
B0053,R3,A,T3,C,A,PASS,4,4,4,4,16,SAME,1,0,1,0,2,True,runs/R3_C/captures/A/T3.raw.json.RETRY
B0053,R3,A,T3,C,B,PASS,4,4,4,4,16,SAME,1,0,1,0,2,True,runs/R3_C/captures/A/T3.raw.json.RETRY
B0015,R3,A,T3,M,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R3_M/captures/A/T3.raw.json
B0015,R3,A,T3,M,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,False,runs/R3_M/captures/A/T3.raw.json
B0050,R3,A,T4,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_C/captures/A/T4.raw.json.RETRY
B0050,R3,A,T4,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_C/captures/A/T4.raw.json.RETRY
B0048,R3,A,T4,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/A/T4.raw.json.RETRY
B0048,R3,A,T4,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/A/T4.raw.json.RETRY
B0059,R3,A,T5,C,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_C/captures/A/T5.raw.json.RETRY
B0059,R3,A,T5,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_C/captures/A/T5.raw.json.RETRY
B0046,R3,A,T5,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/A/T5.raw.json.RETRY
B0046,R3,A,T5,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/A/T5.raw.json.RETRY
B0006,R3,B,T1,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,True,runs/R3_C/captures/B/T1.raw.json.RETRY
B0006,R3,B,T1,C,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_C/captures/B/T1.raw.json.RETRY
B0012,R3,B,T1,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/B/T1.raw.json.RETRY
B0012,R3,B,T1,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/B/T1.raw.json.RETRY
B0033,R3,B,T2,C,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,True,runs/R3_C/captures/B/T2.raw.json.RETRY
B0033,R3,B,T2,C,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,0,1,1,3,True,runs/R3_C/captures/B/T2.raw.json.RETRY
B0036,R3,B,T2,M,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,True,runs/R3_M/captures/B/T2.raw.json.RETRY
B0036,R3,B,T2,M,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,1,1,1,4,True,runs/R3_M/captures/B/T2.raw.json.RETRY
B0058,R3,B,T3,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,1,0,1,1,3,True,runs/R3_C/captures/B/T3.raw.json.RETRY
B0058,R3,B,T3,C,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,True,runs/R3_C/captures/B/T3.raw.json.RETRY
B0016,R3,B,T3,M,A,PASS,4,4,4,4,16,SAME,1,0,1,1,3,True,runs/R3_M/captures/B/T3.raw.json.RETRY
B0016,R3,B,T3,M,B,PASS,4,4,4,4,16,SAME,1,0,1,1,3,True,runs/R3_M/captures/B/T3.raw.json.RETRY
B0005,R3,B,T4,C,A,PASS,4,4,4,4,16,SAME,0,0,0,0,0,True,runs/R3_C/captures/B/T4.raw.json.RETRY
B0005,R3,B,T4,C,B,PASS,4,4,4,4,16,SAME,0,0,0,0,0,True,runs/R3_C/captures/B/T4.raw.json.RETRY
B0028,R3,B,T4,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/B/T4.raw.json.RETRY
B0028,R3,B,T4,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/B/T4.raw.json.RETRY
B0004,R3,B,T5,C,A,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,0,0,0,0,0,True,runs/R3_C/captures/B/T5.raw.json.RETRY
B0004,R3,B,T5,C,B,PASS,3,4,4,4,15,SAME_WITH_VARIANCE,0,0,0,0,0,True,runs/R3_C/captures/B/T5.raw.json.RETRY
B0001,R3,B,T5,M,A,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/B/T5.raw.json.RETRY
B0001,R3,B,T5,M,B,PASS,4,4,4,4,16,SAME,1,1,1,1,4,True,runs/R3_M/captures/B/T5.raw.json.RETRY
